,Model,Dataset,Version,test_mse,test_mae
0,conv_100K,W0_10,0,0.0037,0.0475
1,conv_100K,W0_10,1,0.0053,0.0571
2,conv_100K,W0_10,2,0.0068,0.0679
3,conv_100K,W0_10,3,0.006,0.0592
4,conv_100K,W0_10,4,0.0076,0.0682
5,conv_2M,W0_10,0,0.026,0.1202
6,conv_2M,W0_10,1,0.0044,0.0536
7,conv_2M,W0_10,2,0.0071,0.0678
8,conv_2M,W0_10,3,0.0051,0.054
9,conv_2M,W0_10,4,0.0104,0.0798
10,conv_500K,W0_10,0,0.0064,0.0629
11,conv_500K,W0_10,1,0.0051,0.0581
12,conv_500K,W0_10,2,0.0055,0.0602
13,conv_500K,W0_10,3,0.008,0.075
14,conv_500K,W0_10,4,0.0074,0.0684
15,mlp_15M,W0_10,0,0.0048,0.053
16,mlp_15M,W0_10,1,0.0037,0.0479
17,mlp_15M,W0_10,2,0.0047,0.0538
18,mlp_15M,W0_10,3,0.004,0.0477
19,mlp_15M,W0_10,4,0.0037,0.0469
20,mlp_30M,W0_10,0,0.0034,0.0477
21,mlp_30M,W0_10,1,0.0075,0.0756
22,mlp_30M,W0_10,2,0.0048,0.0528
23,mlp_30M,W0_10,3,0.0047,0.054
24,mlp_30M,W0_10,4,0.0071,0.0668
25,vit_15M,W0_10,0,0.006,0.0625
26,vit_15M,W0_10,1,0.0039,0.0475
27,vit_15M,W0_10,2,0.0037,0.0479
28,vit_15M,W0_10,3,0.0037,0.0479
29,vit_15M,W0_10,4,0.0043,0.0528
30,vit_1M,W0_10,0,0.0013,0.0295
31,vit_1M,W0_10,1,0.0014,0.0298
32,vit_1M,W0_10,2,0.0015,0.031
33,vit_1M,W0_10,3,0.0014,0.0302
34,vit_1M,W0_10,4,0.0014,0.0311
35,vit_500K,W0_10,0,0.0041,0.0516
36,vit_500K,W0_10,1,0.0033,0.048
37,vit_500K,W0_10,2,0.0039,0.051
38,vit_500K,W0_10,3,0.0016,0.0333
39,vit_500K,W0_10,4,0.0041,0.0521
40,vit_5M,W0_10,0,0.0015,0.0314
41,vit_5M,W0_10,1,0.0013,0.0302
42,vit_5M,W0_10,2,0.0013,0.0294
43,vit_5M,W0_10,3,0.0013,0.0297
44,vit_5M,W0_10,4,0.0012,0.0284
45,conv_100K,W0_16,0,0.0033,0.0461
46,conv_100K,W0_16,1,0.0029,0.0426
47,conv_100K,W0_16,2,0.0047,0.0531
48,conv_100K,W0_16,3,0.0017,0.0334
49,conv_100K,W0_16,4,0.0021,0.0368
50,conv_2M,W0_16,0,0.0033,0.0458
51,conv_2M,W0_16,1,0.0065,0.0651
52,conv_2M,W0_16,2,0.0033,0.0485
53,conv_2M,W0_16,3,0.0041,0.0492
54,conv_2M,W0_16,4,0.0056,0.0543
55,conv_500K,W0_16,0,0.0021,0.0375
56,conv_500K,W0_16,1,0.0025,0.0397
57,conv_500K,W0_16,2,0.002,0.0371
58,conv_500K,W0_16,3,0.001,0.0246
59,conv_500K,W0_16,4,0.0011,0.028
60,mlp_15M,W0_16,0,0.0015,0.0332
61,mlp_15M,W0_16,1,0.0014,0.0327
62,mlp_15M,W0_16,2,0.0019,0.0361
63,mlp_15M,W0_16,3,0.0009,0.0253
64,mlp_15M,W0_16,4,0.0026,0.0441
65,mlp_30M,W0_16,0,0.0007,0.0204
66,mlp_30M,W0_16,1,0.0007,0.0223
67,mlp_30M,W0_16,2,0.0007,0.0217
68,mlp_30M,W0_16,3,0.0008,0.0237
69,mlp_30M,W0_16,4,0.0006,0.0202
70,vit_15M,W0_16,0,0.0006,0.0194
71,vit_15M,W0_16,1,0.0006,0.02
72,vit_15M,W0_16,2,0.0006,0.0203
73,vit_15M,W0_16,3,0.0006,0.0189
74,vit_15M,W0_16,4,0.0007,0.0207
75,vit_1M,W0_16,0,0.0012,0.0282
76,vit_1M,W0_16,1,0.003,0.0465
77,vit_1M,W0_16,2,0.0015,0.0305
78,vit_1M,W0_16,3,0.0021,0.0373
79,vit_1M,W0_16,4,0.0024,0.0425
80,vit_500K,W0_16,0,0.0013,0.0304
81,vit_500K,W0_16,1,0.0012,0.0294
82,vit_500K,W0_16,2,0.001,0.0274
83,vit_500K,W0_16,3,0.0012,0.0291
84,vit_500K,W0_16,4,0.0012,0.028
85,vit_5M,W0_16,0,0.0006,0.0195
86,vit_5M,W0_16,1,0.0005,0.0184
87,vit_5M,W0_16,2,0.0005,0.0185
88,vit_5M,W0_16,3,0.0006,0.0201
89,vit_5M,W0_16,4,0.0006,0.0196
90,conv_100K,W1_10,0,0.0931,0.2439
91,conv_100K,W1_10,1,0.0878,0.2369
92,conv_100K,W1_10,2,0.0737,0.2165
93,conv_100K,W1_10,3,0.0946,0.2416
94,conv_100K,W1_10,4,0.0935,0.2405
95,conv_2M,W1_10,0,0.1059,0.2613
96,conv_2M,W1_10,1,0.0964,0.2469
97,conv_2M,W1_10,2,0.0964,0.2469
98,conv_2M,W1_10,3,0.1155,0.2742
99,conv_2M,W1_10,4,0.2072,0.3609
100,conv_500K,W1_10,0,0.1186,0.2794
101,conv_500K,W1_10,1,0.1167,0.2756
102,conv_500K,W1_10,2,0.0835,0.2304
103,conv_500K,W1_10,3,0.1071,0.2609
104,conv_500K,W1_10,4,0.1197,0.2739
105,mlp_15M,W1_10,0,0.0545,0.1867
106,mlp_15M,W1_10,1,0.0545,0.1877
107,mlp_15M,W1_10,2,0.0537,0.1856
108,mlp_15M,W1_10,3,0.0548,0.1876
109,mlp_15M,W1_10,4,0.0546,0.1874
110,mlp_30M,W1_10,0,0.0552,0.1888
111,mlp_30M,W1_10,1,0.0546,0.1876
112,mlp_30M,W1_10,2,0.056,0.1911
113,mlp_30M,W1_10,3,0.0642,0.2042
114,mlp_30M,W1_10,4,0.0566,0.1913
115,vit_15M,W1_10,0,0.0649,0.2007
116,vit_15M,W1_10,1,0.0659,0.2063
117,vit_15M,W1_10,2,0.0702,0.2089
118,vit_15M,W1_10,3,0.0639,0.2037
119,vit_15M,W1_10,4,0.0828,0.2272
120,vit_1M,W1_10,0,0.0621,0.2003
121,vit_1M,W1_10,1,0.0618,0.1995
122,vit_1M,W1_10,2,0.0621,0.2004
123,vit_1M,W1_10,3,0.0623,0.2009
124,vit_1M,W1_10,4,0.0627,0.2019
125,vit_500K,W1_10,0,0.0614,0.1974
126,vit_500K,W1_10,1,0.0616,0.1991
127,vit_500K,W1_10,2,0.0591,0.1941
128,vit_500K,W1_10,3,0.0613,0.1967
129,vit_500K,W1_10,4,0.0625,0.1974
130,vit_5M,W1_10,0,0.0619,0.1994
131,vit_5M,W1_10,1,0.0611,0.1983
132,vit_5M,W1_10,2,0.0636,0.202
133,vit_5M,W1_10,3,0.0625,0.1998
134,vit_5M,W1_10,4,0.0636,0.2026
135,conv_100K,W1_16,0,0.057,0.1912
136,conv_100K,W1_16,1,0.1857,0.3389
137,conv_100K,W1_16,2,0.0985,0.2464
138,conv_100K,W1_16,3,0.0775,0.2203
139,conv_100K,W1_16,4,0.1319,0.2816
140,conv_2M,W1_16,0,0.0526,0.1842
141,conv_2M,W1_16,1,0.0602,0.1909
142,conv_2M,W1_16,2,0.0599,0.199
143,conv_2M,W1_16,3,0.0467,0.1697
144,conv_2M,W1_16,4,0.043,0.161
145,conv_500K,W1_16,0,0.0387,0.1458
146,conv_500K,W1_16,1,0.0397,0.1526
147,conv_500K,W1_16,2,0.037,0.149
148,conv_500K,W1_16,3,0.1053,0.2531
149,conv_500K,W1_16,4,0.061,0.199
150,mlp_15M,W1_16,0,0.0164,0.1023
151,mlp_15M,W1_16,1,0.0159,0.1018
152,mlp_15M,W1_16,2,0.0149,0.0975
153,mlp_15M,W1_16,3,0.0167,0.1037
154,mlp_15M,W1_16,4,0.0153,0.0997
155,mlp_30M,W1_16,0,0.016,0.1003
156,mlp_30M,W1_16,1,0.0176,0.1067
157,mlp_30M,W1_16,2,0.0165,0.1026
158,mlp_30M,W1_16,3,0.0162,0.1012
159,mlp_30M,W1_16,4,0.016,0.1019
160,vit_15M,W1_16,0,0.0235,0.1229
161,vit_15M,W1_16,1,0.0192,0.11
162,vit_15M,W1_16,2,0.0239,0.123
163,vit_15M,W1_16,3,0.0193,0.1107
164,vit_15M,W1_16,4,0.0233,0.1212
165,vit_1M,W1_16,0,0.034,0.1451
166,vit_1M,W1_16,1,0.0293,0.1385
167,vit_1M,W1_16,2,0.0363,0.1508
168,vit_1M,W1_16,3,0.027,0.1293
169,vit_1M,W1_16,4,0.0283,0.1343
170,vit_500K,W1_16,0,0.0229,0.1204
171,vit_500K,W1_16,1,0.0196,0.1108
172,vit_500K,W1_16,2,0.0246,0.1249
173,vit_500K,W1_16,3,0.0211,0.1164
174,vit_500K,W1_16,4,0.0247,0.1241
175,vit_5M,W1_16,0,0.0208,0.1154
176,vit_5M,W1_16,1,0.0201,0.1136
177,vit_5M,W1_16,2,0.0202,0.1131
178,vit_5M,W1_16,3,0.0208,0.116
179,vit_5M,W1_16,4,0.0205,0.1138
180,conv_100K,W2_10,0,0.006,0.0626
181,conv_100K,W2_10,1,0.0053,0.0583
182,conv_100K,W2_10,2,0.0085,0.0759
183,conv_100K,W2_10,3,0.0045,0.0533
184,conv_100K,W2_10,4,0.0042,0.0519
185,conv_2M,W2_10,0,0.0114,0.0786
186,conv_2M,W2_10,1,0.0173,0.1088
187,conv_2M,W2_10,2,0.0128,0.0901
188,conv_2M,W2_10,3,0.0085,0.071
189,conv_2M,W2_10,4,0.0053,0.0611
190,conv_500K,W2_10,0,0.0086,0.0762
191,conv_500K,W2_10,1,0.0043,0.0494
192,conv_500K,W2_10,2,0.0191,0.0993
193,conv_500K,W2_10,3,0.0095,0.0794
194,conv_500K,W2_10,4,0.026,0.1329
195,mlp_15M,W2_10,0,0.0041,0.0521
196,mlp_15M,W2_10,1,0.0043,0.0532
197,mlp_15M,W2_10,2,0.0042,0.0533
198,mlp_15M,W2_10,3,0.0029,0.0431
199,mlp_15M,W2_10,4,0.0058,0.061
200,mlp_30M,W2_10,0,0.0043,0.0505
201,mlp_30M,W2_10,1,0.004,0.0513
202,mlp_30M,W2_10,2,0.0028,0.0419
203,mlp_30M,W2_10,3,0.0026,0.041
204,mlp_30M,W2_10,4,0.0046,0.0557
205,vit_15M,W2_10,0,0.0063,0.0628
206,vit_15M,W2_10,1,0.0101,0.0856
207,vit_15M,W2_10,2,0.0064,0.0698
208,vit_15M,W2_10,3,0.0067,0.0703
209,vit_15M,W2_10,4,0.0053,0.0593
210,vit_1M,W2_10,0,0.0043,0.0535
211,vit_1M,W2_10,1,0.0045,0.0562
212,vit_1M,W2_10,2,0.005,0.0581
213,vit_1M,W2_10,3,0.0048,0.0568
214,vit_1M,W2_10,4,0.0047,0.0557
215,vit_500K,W2_10,0,0.0049,0.0577
216,vit_500K,W2_10,1,0.0048,0.0581
217,vit_500K,W2_10,2,0.0047,0.0551
218,vit_500K,W2_10,3,0.0051,0.0584
219,vit_500K,W2_10,4,0.0048,0.0566
220,vit_5M,W2_10,0,0.004,0.0514
221,vit_5M,W2_10,1,0.0036,0.0493
222,vit_5M,W2_10,2,0.0042,0.0536
223,vit_5M,W2_10,3,0.0041,0.0532
224,vit_5M,W2_10,4,0.0048,0.0566
225,conv_100K,W2_16,0,0.0114,0.0757
226,conv_100K,W2_16,1,0.0133,0.1053
227,conv_100K,W2_16,2,0.0133,0.1053
228,conv_100K,W2_16,3,0.0203,0.1311
229,conv_100K,W2_16,4,0.0227,0.1121
230,conv_2M,W2_16,0,0.0047,0.051
231,conv_2M,W2_16,1,0.002,0.0334
232,conv_2M,W2_16,2,0.0019,0.0341
233,conv_2M,W2_16,3,0.0039,0.0475
234,conv_2M,W2_16,4,0.0023,0.0305
235,conv_500K,W2_16,0,0.0092,0.0743
236,conv_500K,W2_16,1,0.007,0.0646
237,conv_500K,W2_16,2,0.0045,0.051
238,conv_500K,W2_16,3,0.0078,0.0655
239,conv_500K,W2_16,4,0.0095,0.072
240,mlp_15M,W2_16,0,0.0011,0.0273
241,mlp_15M,W2_16,1,0.0006,0.0197
242,mlp_15M,W2_16,2,0.0007,0.0213
243,mlp_15M,W2_16,3,0.0005,0.0185
244,mlp_15M,W2_16,4,0.0015,0.0337
245,mlp_30M,W2_16,0,0.0005,0.0173
246,mlp_30M,W2_16,1,0.0007,0.0211
247,mlp_30M,W2_16,2,0.0008,0.0237
248,mlp_30M,W2_16,3,0.0007,0.0219
249,mlp_30M,W2_16,4,0.0004,0.0169
250,vit_15M,W2_16,0,0.0009,0.0246
251,vit_15M,W2_16,1,0.0013,0.0312
252,vit_15M,W2_16,2,0.0016,0.0343
253,vit_15M,W2_16,3,0.0012,0.0293
254,vit_15M,W2_16,4,0.0013,0.0296
255,vit_1M,W2_16,0,0.0034,0.048
256,vit_1M,W2_16,1,0.0015,0.0307
257,vit_1M,W2_16,2,0.0029,0.044
258,vit_1M,W2_16,3,0.0038,0.0498
259,vit_1M,W2_16,4,0.0026,0.041
260,vit_500K,W2_16,0,0.0027,0.0423
261,vit_500K,W2_16,1,0.0036,0.05
262,vit_500K,W2_16,2,0.0031,0.0454
263,vit_500K,W2_16,3,0.003,0.0451
264,vit_500K,W2_16,4,0.0034,0.0495
265,vit_5M,W2_16,0,0.0019,0.0383
266,vit_5M,W2_16,1,0.0019,0.0389
267,vit_5M,W2_16,2,0.0019,0.0378
268,vit_5M,W2_16,3,0.0019,0.0373
269,vit_5M,W2_16,4,0.0017,0.0364
