,Model,Budget,Dataset,Version,test_mse,test_mae
450,conv_100K,128,W2_10,0,0.0212,0.1272
451,conv_100K,128,W2_10,1,0.0396,0.1844
452,conv_100K,128,W2_10,2,0.0127,0.0972
453,conv_100K,128,W2_10,3,0.0054,0.0561
454,conv_100K,128,W2_10,4,0.0086,0.0753
455,conv_100K,256,W2_10,0,0.0135,0.1019
456,conv_100K,256,W2_10,1,0.0246,0.1434
457,conv_100K,256,W2_10,2,0.0281,0.1542
458,conv_100K,256,W2_10,3,0.0118,0.0921
459,conv_100K,256,W2_10,4,0.0138,0.1013
460,conv_100K,32,W2_10,0,0.0134,0.1001
461,conv_100K,32,W2_10,1,0.0412,0.1904
462,conv_100K,32,W2_10,2,0.0552,0.2234
463,conv_100K,32,W2_10,3,0.05,0.2126
464,conv_100K,32,W2_10,4,0.0629,0.2419
465,conv_100K,512,W2_10,0,0.0093,0.0807
466,conv_100K,512,W2_10,1,0.0117,0.0919
467,conv_100K,512,W2_10,2,0.0066,0.0687
468,conv_100K,512,W2_10,3,0.0131,0.0993
469,conv_100K,512,W2_10,4,0.0226,0.1347
470,conv_100K,64,W2_10,0,0.0845,0.2732
471,conv_100K,64,W2_10,1,0.1687,0.3838
472,conv_100K,64,W2_10,2,0.0577,0.2244
473,conv_100K,64,W2_10,3,0.0773,0.2597
474,conv_100K,64,W2_10,4,0.0328,0.1626
475,conv_2M,128,W2_10,0,0.0304,0.1306
476,conv_2M,128,W2_10,1,0.0171,0.1052
477,conv_2M,128,W2_10,2,0.0446,0.1565
478,conv_2M,128,W2_10,3,0.0758,0.2188
479,conv_2M,128,W2_10,4,0.0601,0.2008
480,conv_2M,256,W2_10,0,0.0317,0.1394
481,conv_2M,256,W2_10,1,0.0147,0.085
482,conv_2M,256,W2_10,2,0.0273,0.1282
483,conv_2M,256,W2_10,3,0.1132,0.264
484,conv_2M,256,W2_10,4,0.0442,0.1711
485,conv_2M,32,W2_10,0,0.1091,0.2532
486,conv_2M,32,W2_10,1,0.0243,0.1301
487,conv_2M,32,W2_10,2,0.0215,0.1174
488,conv_2M,32,W2_10,3,0.1931,0.3473
489,conv_2M,32,W2_10,4,0.1529,0.3326
490,conv_2M,512,W2_10,0,0.014,0.0853
491,conv_2M,512,W2_10,1,0.0103,0.0814
492,conv_2M,512,W2_10,2,0.017,0.1101
493,conv_2M,512,W2_10,3,0.0176,0.1118
494,conv_2M,512,W2_10,4,0.0291,0.1415
495,conv_2M,64,W2_10,0,0.0407,0.1597
496,conv_2M,64,W2_10,1,0.0952,0.2261
497,conv_2M,64,W2_10,2,0.1376,0.3196
498,conv_2M,64,W2_10,3,0.085,0.2126
499,conv_2M,64,W2_10,4,0.0581,0.1877
500,conv_500K,128,W2_10,0,0.029,0.1176
501,conv_500K,128,W2_10,1,0.0522,0.1903
502,conv_500K,128,W2_10,2,0.0185,0.0827
503,conv_500K,128,W2_10,3,0.0121,0.0754
504,conv_500K,128,W2_10,4,0.0453,0.1892
505,conv_500K,256,W2_10,0,0.0825,0.2453
506,conv_500K,256,W2_10,1,0.0391,0.1457
507,conv_500K,256,W2_10,2,0.0221,0.1246
508,conv_500K,256,W2_10,3,0.0457,0.177
509,conv_500K,256,W2_10,4,0.0333,0.1457
510,conv_500K,32,W2_10,0,0.0214,0.1151
511,conv_500K,32,W2_10,1,0.5309,0.6503
512,conv_500K,32,W2_10,2,0.0372,0.1321
513,conv_500K,32,W2_10,3,0.1458,0.3612
514,conv_500K,32,W2_10,4,0.1546,0.3703
515,conv_500K,512,W2_10,0,0.0082,0.0771
516,conv_500K,512,W2_10,1,0.0059,0.0581
517,conv_500K,512,W2_10,2,0.0138,0.0964
518,conv_500K,512,W2_10,3,0.0322,0.1412
519,conv_500K,512,W2_10,4,0.0138,0.0933
520,conv_500K,64,W2_10,0,0.1045,0.2718
521,conv_500K,64,W2_10,1,0.1078,0.2753
522,conv_500K,64,W2_10,2,0.0585,0.2079
523,conv_500K,64,W2_10,3,0.2639,0.4265
524,conv_500K,64,W2_10,4,0.026,0.1314
525,mlp_15M,128,W2_10,0,0.054,0.2059
526,mlp_15M,128,W2_10,1,0.0193,0.1232
527,mlp_15M,128,W2_10,2,0.0131,0.0977
528,mlp_15M,128,W2_10,3,0.0431,0.1876
529,mlp_15M,128,W2_10,4,0.005,0.0592
530,mlp_15M,256,W2_10,0,0.0048,0.0557
531,mlp_15M,256,W2_10,1,0.0068,0.0667
532,mlp_15M,256,W2_10,2,0.0141,0.0959
533,mlp_15M,256,W2_10,3,0.0034,0.0483
534,mlp_15M,256,W2_10,4,0.0085,0.0735
535,mlp_15M,32,W2_10,0,0.0942,0.2535
536,mlp_15M,32,W2_10,1,0.1926,0.3812
537,mlp_15M,32,W2_10,2,0.028,0.1446
538,mlp_15M,32,W2_10,3,0.1001,0.2757
539,mlp_15M,32,W2_10,4,0.18,0.3693
540,mlp_15M,512,W2_10,0,0.004,0.0523
541,mlp_15M,512,W2_10,1,0.0066,0.0672
542,mlp_15M,512,W2_10,2,0.0053,0.0593
543,mlp_15M,512,W2_10,3,0.0049,0.0589
544,mlp_15M,512,W2_10,4,0.0054,0.0578
545,mlp_15M,64,W2_10,0,0.0303,0.1433
546,mlp_15M,64,W2_10,1,0.0352,0.1584
547,mlp_15M,64,W2_10,2,0.0363,0.1656
548,mlp_15M,64,W2_10,3,0.0587,0.2076
549,mlp_15M,64,W2_10,4,0.0891,0.2512
550,mlp_30M,128,W2_10,0,0.0396,0.1667
551,mlp_30M,128,W2_10,1,0.0632,0.2116
552,mlp_30M,128,W2_10,2,0.1741,0.3642
553,mlp_30M,128,W2_10,3,0.0276,0.1262
554,mlp_30M,128,W2_10,4,0.2165,0.4022
555,mlp_30M,256,W2_10,0,0.0288,0.1498
556,mlp_30M,256,W2_10,1,0.0088,0.0771
557,mlp_30M,256,W2_10,2,0.017,0.1115
558,mlp_30M,256,W2_10,3,0.0079,0.0727
559,mlp_30M,256,W2_10,4,0.0089,0.0819
560,mlp_30M,32,W2_10,0,14.7668,3.3159
561,mlp_30M,32,W2_10,1,17.6922,3.6265
562,mlp_30M,32,W2_10,2,20.2142,3.8754
563,mlp_30M,32,W2_10,3,15.6223,3.399
564,mlp_30M,32,W2_10,4,6.6168,2.2155
565,mlp_30M,512,W2_10,0,0.0075,0.069
566,mlp_30M,512,W2_10,1,0.0049,0.0574
567,mlp_30M,512,W2_10,2,0.0076,0.0713
568,mlp_30M,512,W2_10,3,0.0047,0.0571
569,mlp_30M,512,W2_10,4,0.0045,0.0539
570,mlp_30M,64,W2_10,0,12.5053,3.0323
571,mlp_30M,64,W2_10,1,15.4517,3.3698
572,mlp_30M,64,W2_10,2,24.9568,4.2967
573,mlp_30M,64,W2_10,3,15.8684,3.4299
574,mlp_30M,64,W2_10,4,12.6845,3.0561
575,vit_15M,128,W2_10,0,0.0119,0.0899
576,vit_15M,128,W2_10,1,0.0416,0.1791
577,vit_15M,128,W2_10,2,0.0452,0.1714
578,vit_15M,128,W2_10,3,0.0113,0.0868
579,vit_15M,128,W2_10,4,0.0314,0.1483
580,vit_15M,256,W2_10,0,0.1002,0.2615
581,vit_15M,256,W2_10,1,0.0101,0.0789
582,vit_15M,256,W2_10,2,0.0104,0.0755
583,vit_15M,256,W2_10,3,32.9246,4.9488
584,vit_15M,256,W2_10,4,32.9193,4.9484
585,vit_15M,32,W2_10,0,0.28,0.4398
586,vit_15M,32,W2_10,1,0.0072,0.0719
587,vit_15M,32,W2_10,2,1.8208,1.1211
588,vit_15M,32,W2_10,3,0.6795,0.737
589,vit_15M,32,W2_10,4,0.9209,0.7361
590,vit_15M,512,W2_10,0,0.009,0.0738
591,vit_15M,512,W2_10,1,0.0107,0.0865
592,vit_15M,512,W2_10,2,0.0075,0.0718
593,vit_15M,512,W2_10,3,0.0103,0.0808
594,vit_15M,512,W2_10,4,0.0218,0.1232
595,vit_15M,64,W2_10,0,0.0174,0.1101
596,vit_15M,64,W2_10,1,3.2052,1.5463
597,vit_15M,64,W2_10,2,0.388,0.5995
598,vit_15M,64,W2_10,3,1.7822,1.0568
599,vit_15M,64,W2_10,4,0.0657,0.2282
600,vit_1M,128,W2_10,0,0.018,0.1165
601,vit_1M,128,W2_10,1,0.0281,0.1459
602,vit_1M,128,W2_10,2,0.0135,0.0937
603,vit_1M,128,W2_10,3,0.0212,0.1252
604,vit_1M,128,W2_10,4,0.0273,0.1467
605,vit_1M,256,W2_10,0,0.0073,0.0688
606,vit_1M,256,W2_10,1,0.0113,0.0875
607,vit_1M,256,W2_10,2,0.0093,0.0786
608,vit_1M,256,W2_10,3,0.0131,0.0942
609,vit_1M,256,W2_10,4,0.0125,0.0914
610,vit_1M,32,W2_10,0,0.0397,0.1762
611,vit_1M,32,W2_10,1,0.0397,0.1805
612,vit_1M,32,W2_10,2,0.0469,0.2014
613,vit_1M,32,W2_10,3,0.0306,0.1466
614,vit_1M,32,W2_10,4,0.0436,0.1896
615,vit_1M,512,W2_10,0,0.0071,0.0676
616,vit_1M,512,W2_10,1,0.008,0.0707
617,vit_1M,512,W2_10,2,0.0059,0.062
618,vit_1M,512,W2_10,3,0.0061,0.0628
619,vit_1M,512,W2_10,4,0.0076,0.069
620,vit_1M,64,W2_10,0,0.056,0.2186
621,vit_1M,64,W2_10,1,0.0611,0.2108
622,vit_1M,64,W2_10,2,0.0494,0.1815
623,vit_1M,64,W2_10,3,0.0507,0.1824
624,vit_1M,64,W2_10,4,0.047,0.1947
625,vit_500K,128,W2_10,0,0.0107,0.0876
626,vit_500K,128,W2_10,1,0.0095,0.0811
627,vit_500K,128,W2_10,2,0.0086,0.0777
628,vit_500K,128,W2_10,3,0.0078,0.0744
629,vit_500K,128,W2_10,4,0.0135,0.1006
630,vit_500K,256,W2_10,0,0.0066,0.0704
631,vit_500K,256,W2_10,1,0.0073,0.071
632,vit_500K,256,W2_10,2,0.007,0.0701
633,vit_500K,256,W2_10,3,0.0067,0.0694
634,vit_500K,256,W2_10,4,0.0069,0.0703
635,vit_500K,32,W2_10,0,0.0135,0.0997
636,vit_500K,32,W2_10,1,0.0095,0.082
637,vit_500K,32,W2_10,2,0.016,0.0986
638,vit_500K,32,W2_10,3,0.0221,0.1311
639,vit_500K,32,W2_10,4,0.0165,0.107
640,vit_500K,512,W2_10,0,0.0055,0.063
641,vit_500K,512,W2_10,1,0.006,0.0645
642,vit_500K,512,W2_10,2,0.0049,0.0606
643,vit_500K,512,W2_10,3,0.0066,0.0692
644,vit_500K,512,W2_10,4,0.0045,0.0554
645,vit_500K,64,W2_10,0,0.0206,0.1196
646,vit_500K,64,W2_10,1,0.0102,0.0838
647,vit_500K,64,W2_10,2,0.0243,0.1391
648,vit_500K,64,W2_10,3,0.0309,0.1563
649,vit_500K,64,W2_10,4,0.0187,0.1144
650,vit_5M,128,W2_10,0,0.014,0.0972
651,vit_5M,128,W2_10,1,0.0127,0.092
652,vit_5M,128,W2_10,2,0.0213,0.1264
653,vit_5M,128,W2_10,3,0.016,0.1087
654,vit_5M,128,W2_10,4,0.0183,0.1143
655,vit_5M,256,W2_10,0,0.0117,0.0916
656,vit_5M,256,W2_10,1,0.0167,0.1086
657,vit_5M,256,W2_10,2,0.0104,0.0832
658,vit_5M,256,W2_10,3,0.0106,0.0865
659,vit_5M,256,W2_10,4,0.0107,0.0856
660,vit_5M,32,W2_10,0,0.0517,0.1961
661,vit_5M,32,W2_10,1,0.0556,0.2045
662,vit_5M,32,W2_10,2,0.0254,0.135
663,vit_5M,32,W2_10,3,0.0531,0.1867
664,vit_5M,32,W2_10,4,0.0516,0.2023
665,vit_5M,512,W2_10,0,0.0077,0.0714
666,vit_5M,512,W2_10,1,0.0091,0.0793
667,vit_5M,512,W2_10,2,0.006,0.065
668,vit_5M,512,W2_10,3,0.0091,0.0801
669,vit_5M,512,W2_10,4,0.008,0.0747
670,vit_5M,64,W2_10,0,0.0354,0.15
671,vit_5M,64,W2_10,1,0.0245,0.1259
672,vit_5M,64,W2_10,2,0.0428,0.1845
673,vit_5M,64,W2_10,3,0.0496,0.1948
674,vit_5M,64,W2_10,4,0.0256,0.1296
675,conv_100K,128,W2_16,0,0.0728,0.2305
676,conv_100K,128,W2_16,1,0.1599,0.3665
677,conv_100K,128,W2_16,2,0.0764,0.2413
678,conv_100K,128,W2_16,3,0.038,0.1397
679,conv_100K,128,W2_16,4,0.116,0.2625
680,conv_100K,256,W2_16,0,0.0165,0.109
681,conv_100K,256,W2_16,1,0.0225,0.1161
682,conv_100K,256,W2_16,2,0.0562,0.184
683,conv_100K,256,W2_16,3,0.013,0.0746
684,conv_100K,256,W2_16,4,0.0598,0.1747
685,conv_100K,32,W2_16,0,0.6243,0.7348
686,conv_100K,32,W2_16,1,0.188,0.3762
687,conv_100K,32,W2_16,2,0.1638,0.2821
688,conv_100K,32,W2_16,3,0.0822,0.2288
689,conv_100K,32,W2_16,4,0.7554,0.8027
690,conv_100K,512,W2_16,0,0.0094,0.082
691,conv_100K,512,W2_16,1,0.018,0.109
692,conv_100K,512,W2_16,2,0.0155,0.1067
693,conv_100K,512,W2_16,3,0.0095,0.0768
694,conv_100K,512,W2_16,4,0.0253,0.1143
695,conv_100K,64,W2_16,0,0.0382,0.1474
696,conv_100K,64,W2_16,1,0.1358,0.3065
697,conv_100K,64,W2_16,2,0.1055,0.2542
698,conv_100K,64,W2_16,3,0.1815,0.396
699,conv_100K,64,W2_16,4,0.3353,0.4343
700,conv_2M,128,W2_16,0,0.0981,0.2613
701,conv_2M,128,W2_16,1,0.0724,0.2018
702,conv_2M,128,W2_16,2,0.2029,0.4165
703,conv_2M,128,W2_16,3,0.2795,0.4795
704,conv_2M,128,W2_16,4,0.1072,0.2969
705,conv_2M,256,W2_16,0,0.0067,0.0606
706,conv_2M,256,W2_16,1,0.0142,0.109
707,conv_2M,256,W2_16,2,0.0039,0.0484
708,conv_2M,256,W2_16,3,0.0332,0.1749
709,conv_2M,256,W2_16,4,0.0318,0.1567
710,conv_2M,32,W2_16,0,31.7592,4.8588
711,conv_2M,32,W2_16,1,34.0772,5.0275
712,conv_2M,32,W2_16,2,31.9348,4.8653
713,conv_2M,32,W2_16,3,32.6912,4.921
714,conv_2M,32,W2_16,4,33.9959,5.022
715,conv_2M,512,W2_16,0,0.0169,0.1216
716,conv_2M,512,W2_16,1,0.005,0.0638
717,conv_2M,512,W2_16,2,0.0063,0.0684
718,conv_2M,512,W2_16,3,0.0078,0.0751
719,conv_2M,512,W2_16,4,0.0088,0.0736
720,conv_2M,64,W2_16,0,11.146,2.8965
721,conv_2M,64,W2_16,1,2.7143,1.4228
722,conv_2M,64,W2_16,2,10.3615,2.7782
723,conv_2M,64,W2_16,3,7.3042,2.3414
724,conv_2M,64,W2_16,4,3.4407,1.6052
725,conv_500K,128,W2_16,0,0.0492,0.1571
726,conv_500K,128,W2_16,1,0.0679,0.1904
727,conv_500K,128,W2_16,2,0.0616,0.1701
728,conv_500K,128,W2_16,3,0.019,0.0994
729,conv_500K,128,W2_16,4,0.0575,0.1744
730,conv_500K,256,W2_16,0,0.0123,0.0826
731,conv_500K,256,W2_16,1,0.0189,0.1022
732,conv_500K,256,W2_16,2,0.0165,0.0966
733,conv_500K,256,W2_16,3,0.0133,0.0731
734,conv_500K,256,W2_16,4,0.0217,0.1184
735,conv_500K,32,W2_16,0,0.0784,0.2256
736,conv_500K,32,W2_16,1,0.2412,0.3633
737,conv_500K,32,W2_16,2,0.1639,0.3528
738,conv_500K,32,W2_16,3,0.2348,0.4033
739,conv_500K,32,W2_16,4,0.1243,0.3103
740,conv_500K,512,W2_16,0,0.0154,0.0944
741,conv_500K,512,W2_16,1,0.0252,0.1179
742,conv_500K,512,W2_16,2,0.0425,0.168
743,conv_500K,512,W2_16,3,0.0086,0.0776
744,conv_500K,512,W2_16,4,0.0094,0.0697
745,conv_500K,64,W2_16,0,0.1146,0.3066
746,conv_500K,64,W2_16,1,0.1452,0.3168
747,conv_500K,64,W2_16,2,0.1941,0.406
748,conv_500K,64,W2_16,3,0.1385,0.3259
749,conv_500K,64,W2_16,4,0.0734,0.2352
750,mlp_15M,128,W2_16,0,0.0247,0.136
751,mlp_15M,128,W2_16,1,0.0088,0.083
752,mlp_15M,128,W2_16,2,0.0184,0.1143
753,mlp_15M,128,W2_16,3,0.0338,0.1583
754,mlp_15M,128,W2_16,4,0.0222,0.1248
755,mlp_15M,256,W2_16,0,0.0012,0.0289
756,mlp_15M,256,W2_16,1,0.0025,0.0441
757,mlp_15M,256,W2_16,2,0.0024,0.0408
758,mlp_15M,256,W2_16,3,0.0101,0.084
759,mlp_15M,256,W2_16,4,0.0091,0.0882
760,mlp_15M,32,W2_16,0,1.8679,1.1759
761,mlp_15M,32,W2_16,1,1.1704,0.9332
762,mlp_15M,32,W2_16,2,1.331,0.9893
763,mlp_15M,32,W2_16,3,2.4677,1.3639
764,mlp_15M,32,W2_16,4,1.2334,0.9594
765,mlp_15M,512,W2_16,0,0.001,0.0249
766,mlp_15M,512,W2_16,1,0.0016,0.0318
767,mlp_15M,512,W2_16,2,0.0026,0.045
768,mlp_15M,512,W2_16,3,0.0013,0.0273
769,mlp_15M,512,W2_16,4,0.002,0.0346
770,mlp_15M,64,W2_16,0,0.2661,0.4456
771,mlp_15M,64,W2_16,1,0.0788,0.2369
772,mlp_15M,64,W2_16,2,0.4949,0.5973
773,mlp_15M,64,W2_16,3,0.2555,0.4359
774,mlp_15M,64,W2_16,4,0.0397,0.1915
775,mlp_30M,128,W2_16,0,0.0221,0.1434
776,mlp_30M,128,W2_16,1,0.0117,0.0849
777,mlp_30M,128,W2_16,2,0.0109,0.0997
778,mlp_30M,128,W2_16,3,0.043,0.1732
779,mlp_30M,128,W2_16,4,0.0329,0.1425
780,mlp_30M,256,W2_16,0,0.0021,0.0385
781,mlp_30M,256,W2_16,1,0.0131,0.0902
782,mlp_30M,256,W2_16,2,0.0095,0.0778
783,mlp_30M,256,W2_16,3,0.0049,0.0599
784,mlp_30M,256,W2_16,4,0.0037,0.0514
785,mlp_30M,32,W2_16,0,21.0878,3.9605
786,mlp_30M,32,W2_16,1,23.5227,4.214
787,mlp_30M,32,W2_16,2,11.036,2.8712
788,mlp_30M,32,W2_16,3,9.7636,2.6908
789,mlp_30M,32,W2_16,4,20.015,3.8661
790,mlp_30M,512,W2_16,0,0.0011,0.0283
791,mlp_30M,512,W2_16,1,0.0011,0.0267
792,mlp_30M,512,W2_16,2,0.003,0.0468
793,mlp_30M,512,W2_16,3,0.0012,0.0257
794,mlp_30M,512,W2_16,4,0.0019,0.035
795,mlp_30M,64,W2_16,0,6.9222,2.2738
796,mlp_30M,64,W2_16,1,6.552,2.216
797,mlp_30M,64,W2_16,2,12.0528,2.988
798,mlp_30M,64,W2_16,3,12.0384,3.0056
799,mlp_30M,64,W2_16,4,3.1191,1.4981
800,vit_15M,128,W2_16,0,0.0115,0.0915
801,vit_15M,128,W2_16,1,0.0039,0.0528
802,vit_15M,128,W2_16,2,0.0086,0.0817
803,vit_15M,128,W2_16,3,0.002,0.0323
804,vit_15M,128,W2_16,4,0.0205,0.1349
805,vit_15M,256,W2_16,0,0.002,0.0328
806,vit_15M,256,W2_16,1,0.002,0.0311
807,vit_15M,256,W2_16,2,0.0021,0.0372
808,vit_15M,256,W2_16,3,0.0058,0.0631
809,vit_15M,256,W2_16,4,0.0026,0.0402
810,vit_15M,32,W2_16,0,0.0371,0.1554
811,vit_15M,32,W2_16,1,0.0235,0.136
812,vit_15M,32,W2_16,2,0.0569,0.1605
813,vit_15M,32,W2_16,3,0.1015,0.2798
814,vit_15M,32,W2_16,4,0.0523,0.1715
815,vit_15M,512,W2_16,0,0.0013,0.0285
816,vit_15M,512,W2_16,1,0.0021,0.0369
817,vit_15M,512,W2_16,2,0.0011,0.0251
818,vit_15M,512,W2_16,3,0.0015,0.0311
819,vit_15M,512,W2_16,4,0.0025,0.0417
820,vit_15M,64,W2_16,0,0.0702,0.2477
821,vit_15M,64,W2_16,1,0.0549,0.1888
822,vit_15M,64,W2_16,2,0.0223,0.1155
823,vit_15M,64,W2_16,3,0.0358,0.1456
824,vit_15M,64,W2_16,4,0.0435,0.1719
825,vit_1M,128,W2_16,0,0.0133,0.0963
826,vit_1M,128,W2_16,1,0.0091,0.0798
827,vit_1M,128,W2_16,2,0.084,0.2502
828,vit_1M,128,W2_16,3,0.0136,0.1024
829,vit_1M,128,W2_16,4,0.0498,0.179
830,vit_1M,256,W2_16,0,0.0112,0.0893
831,vit_1M,256,W2_16,1,0.01,0.0732
832,vit_1M,256,W2_16,2,0.0085,0.069
833,vit_1M,256,W2_16,3,0.0067,0.0706
834,vit_1M,256,W2_16,4,0.0096,0.0773
835,vit_1M,32,W2_16,0,0.077,0.2274
836,vit_1M,32,W2_16,1,0.6036,0.7715
837,vit_1M,32,W2_16,2,0.188,0.3915
838,vit_1M,32,W2_16,3,0.0161,0.0987
839,vit_1M,32,W2_16,4,0.0643,0.1786
840,vit_1M,512,W2_16,0,0.0061,0.0604
841,vit_1M,512,W2_16,1,0.0037,0.0498
842,vit_1M,512,W2_16,2,0.0039,0.0522
843,vit_1M,512,W2_16,3,0.0187,0.1067
844,vit_1M,512,W2_16,4,0.0085,0.0777
845,vit_1M,64,W2_16,0,0.1857,0.3859
846,vit_1M,64,W2_16,1,0.0575,0.2014
847,vit_1M,64,W2_16,2,0.0717,0.2151
848,vit_1M,64,W2_16,3,0.0695,0.235
849,vit_1M,64,W2_16,4,0.1403,0.3444
850,vit_500K,128,W2_16,0,0.0287,0.156
851,vit_500K,128,W2_16,1,0.0311,0.1567
852,vit_500K,128,W2_16,2,0.0231,0.1433
853,vit_500K,128,W2_16,3,0.0164,0.1071
854,vit_500K,128,W2_16,4,0.0273,0.1551
855,vit_500K,256,W2_16,0,0.0164,0.1139
856,vit_500K,256,W2_16,1,0.0067,0.0712
857,vit_500K,256,W2_16,2,0.0114,0.0973
858,vit_500K,256,W2_16,3,0.0192,0.1264
859,vit_500K,256,W2_16,4,0.0134,0.1047
860,vit_500K,32,W2_16,0,0.0046,0.0574
861,vit_500K,32,W2_16,1,0.0362,0.1698
862,vit_500K,32,W2_16,2,0.043,0.1619
863,vit_500K,32,W2_16,3,0.0811,0.2385
864,vit_500K,32,W2_16,4,0.0815,0.236
865,vit_500K,512,W2_16,0,0.0052,0.0619
866,vit_500K,512,W2_16,1,0.0064,0.0685
867,vit_500K,512,W2_16,2,0.0049,0.0599
868,vit_500K,512,W2_16,3,0.0054,0.0638
869,vit_500K,512,W2_16,4,0.0055,0.0635
870,vit_500K,64,W2_16,0,0.0257,0.1381
871,vit_500K,64,W2_16,1,0.0272,0.1587
872,vit_500K,64,W2_16,2,0.0075,0.0635
873,vit_500K,64,W2_16,3,0.0143,0.1071
874,vit_500K,64,W2_16,4,0.0178,0.1142
875,vit_5M,128,W2_16,0,0.0077,0.0738
876,vit_5M,128,W2_16,1,0.0078,0.0745
877,vit_5M,128,W2_16,2,0.0074,0.0802
878,vit_5M,128,W2_16,3,0.0075,0.0699
879,vit_5M,128,W2_16,4,0.0077,0.0787
880,vit_5M,256,W2_16,0,0.003,0.047
881,vit_5M,256,W2_16,1,0.004,0.0559
882,vit_5M,256,W2_16,2,0.0051,0.0636
883,vit_5M,256,W2_16,3,0.0064,0.0727
884,vit_5M,256,W2_16,4,0.0043,0.0574
885,vit_5M,32,W2_16,0,0.0162,0.1185
886,vit_5M,32,W2_16,1,0.0552,0.1448
887,vit_5M,32,W2_16,2,0.0121,0.0924
888,vit_5M,32,W2_16,3,0.0308,0.1377
889,vit_5M,32,W2_16,4,0.0166,0.1162
890,vit_5M,512,W2_16,0,0.0024,0.0413
891,vit_5M,512,W2_16,1,0.0024,0.0408
892,vit_5M,512,W2_16,2,0.0027,0.0437
893,vit_5M,512,W2_16,3,0.0023,0.039
894,vit_5M,512,W2_16,4,0.0024,0.0411
895,vit_5M,64,W2_16,0,0.0065,0.0626
896,vit_5M,64,W2_16,1,0.0127,0.0974
897,vit_5M,64,W2_16,2,0.0116,0.0872
898,vit_5M,64,W2_16,3,0.0141,0.101
899,vit_5M,64,W2_16,4,0.0137,0.1071
